0,12
0,8
1,93
1,95
2,28
2,162
3,13
3,6
4,74
4,173
5,3
5,13
6,5
7,22
7,138
8,169
8,196
9,57
9,153
10,198
10,96
11,129
11,25
12,116
12,134
14,58
14,50
15,189
15,156
16,200
16,38
17,140
17,149
18,43
18,149
19,45
19,60
20,131
20,89
21,39
21,182
22,138
23,37
23,181
24,109
24,79
25,122
25,93
26,170
26,153
27,60
27,170
28,162
29,53
29,128
30,111
30,189
31,65
31,145
32,47
32,190
33,49
33,80
34,141
34,131
35,154
35,174
36,184
36,54
37,139
38,200
39,182
40,172
40,192
41,117
41,182
42,137
42,50
43,67
44,51
44,14
45,60
46,147
46,184
47,105
48,5
48,6
49,80
50,137
51,14
52,130
52,180
53,128
54,185
55,85
55,199
56,132
56,176
57,26
57,153
58,92
59,144
59,139
60,170
61,172
61,189
62,101
62,150
63,193
63,194
64,145
64,65
66,98
66,148
67,84
67,87
68,146
68,77
69,173
69,6
70,200
70,16
71,105
71,47
72,165
72,89
73,159
73,121
74,152
75,152
75,74
76,191
76,92
77,164
77,146
78,151
78,66
79,106
79,190
81,136
81,13
82,178
82,87
83,114
83,171
84,87
85,199
86,155
86,85
87,178
88,176
88,132
89,131
90,184
90,36
91,183
91,119
92,191
93,122
94,115
94,166
95,93
96,112
96,158
97,73
97,140
98,148
99,143
99,138
100,72
100,165
101,150
102,168
102,28
103,126
103,163
104,100
104,72
106,65
107,162
107,196
108,192
108,186
109,95
110,134
110,116
111,186
112,158
113,159
113,161
114,171
115,166
116,134
117,182
118,138
118,99
119,105
119,174
120,89
120,100
121,159
122,197
123,166
123,139
124,142
124,151
125,58
125,92
126,163
127,188
127,199
129,95
130,180
131,72
132,176
133,154
133,41
135,143
135,99
136,195
140,149
141,131
142,151
144,139
147,184
153,175
155,85
156,157
157,36
158,163
160,42
160,50
161,121
163,112
164,146
167,185
167,54
168,166
168,115
169,196
175,130
177,70
177,121
179,162
179,107
180,160
181,196
183,119
186,167
187,46
187,147
188,199
189,156
192,56
193,194
195,81
197,101
198,96
0,167
1,22
3,44
7,10
9,68
10,171
15,161
16,33
20,53
29,188
33,124
55,171
63,124
66,146
83,104
25,130
