0,12
0,8
1,93
1,95
2,28
2,23
3,13
3,6
4,74
4,69
5,3
5,13
6,5
7,22
7,99
8,43
9,57
9,52
10,96
10,24
11,25
11,22
12,90
14,58
14,50
15,30
15,75
16,38
16,70
17,12
17,18
18,43
18,63
19,45
19,60
20,89
20,72
21,39
21,56
22,99
23,37
24,79
24,95
25,93
26,27
26,57
27,60
28,23
29,53
29,55
30,40
31,65
31,64
32,47
32,71
33,49
33,80
34,72
34,89
35,71
35,47
36,54
36,90
37,88
38,70
39,41
40,56
40,61
41,21
42,50
42,68
43,67
44,51
44,14
45,60
46,36
46,90
47,71
48,5
48,6
49,80
50,68
51,14
52,68
52,42
53,20
54,90
55,85
55,86
58,92
59,88
59,37
61,15
62,91
62,75
63,17
64,65
66,98
66,78
67,84
67,87
68,77
69,6
72,89
72,100
73,70
73,38
74,75
76,92
76,58
77,42
78,98
79,64
79,65
81,13
81,3
82,87
82,67
83,100
83,72
84,87
85,86
88,56
89,100
91,32
93,95
94,59
94,86
96,24
97,73
97,17
0,30
1,62
73,49
9,66
33,98
66,14
