0	373
0	456
1	93
1	284
2	28
2	421
3	13
3	6
4	212
4	74
5	3
5	321
6	496
6	221
7	22
7	138
8	169
8	349
9	254
9	432
10	277
10	215
11	218
11	129
12	495
12	385
13	5
14	410
14	58
15	189
15	445
16	200
16	38
17	323
17	413
18	338
18	43
19	45
19	294
20	241
20	309
21	289
21	39
22	138
23	428
23	201
24	109
24	488
25	245
25	463
26	483
26	170
27	60
27	325
28	421
29	363
29	377
30	332
30	111
31	65
31	145
32	47
32	249
33	425
33	243
34	141
34	276
35	352
35	299
36	371
36	184
37	319
37	201
38	393
38	238
39	182
39	286
40	379
40	172
41	117
41	441
42	137
42	305
43	461
43	246
44	51
44	424
45	294
45	493
46	449
46	147
47	105
48	365
48	387
49	243
49	297
50	137
50	42
51	424
52	214
52	344
53	128
53	340
54	185
54	36
55	85
55	199
56	237
56	289
57	383
57	26
58	263
58	92
59	400
59	144
60	479
60	493
61	437
61	172
62	429
62	101
63	458
63	193
64	145
64	65
65	339
66	98
66	330
67	262
67	84
68	146
68	256
69	242
69	173
70	200
70	238
71	275
71	105
72	271
72	165
73	374
73	303
74	212
75	384
75	398
76	191
76	263
77	164
77	146
78	151
78	498
79	106
79	190
80	243
80	49
81	264
81	278
82	178
82	87
83	114
83	171
84	262
85	266
86	361
86	155
87	178
88	270
88	440
89	72
89	131
90	307
90	343
91	183
91	399
92	263
92	191
93	122
94	115
94	401
95	284
95	1
96	112
96	227
97	272
97	418
98	457
99	232
99	452
100	72
100	271
101	296
101	369
102	244
102	376
103	220
103	459
104	391
104	491
106	339
106	403
107	205
107	300
108	405
108	236
109	488
110	355
110	473
111	332
111	247
112	158
113	450
113	326
114	171
115	166
116	385
116	134
117	441
118	265
118	138
119	105
119	174
120	464
120	202
121	382
121	362
122	197
122	314
123	406
123	229
124	367
124	423
125	329
125	460
126	360
126	459
127	419
127	188
128	202
129	218
130	344
130	291
131	233
132	176
132	237
133	465
133	345
134	385
135	433
135	482
136	310
136	278
138	265
139	400
139	414
140	225
140	413
141	276
142	423
142	375
143	452
143	404
144	216
144	485
146	305
147	449
148	269
148	412
149	409
149	413
150	466
150	248
151	494
152	341
152	398
153	228
153	411
154	407
154	431
155	210
156	15
156	292
157	292
157	371
158	497
159	121
159	362
160	317
160	287
161	356
161	348
162	257
162	462
163	158
163	112
164	146
165	271
166	229
167	185
167	54
168	313
168	166
169	442
170	483
171	448
172	379
173	242
173	212
174	352
175	291
175	252
176	440
177	487
177	382
179	427
179	234
180	344
180	287
181	499
181	213
182	286
182	441
183	368
184	336
186	386
186	204
187	328
187	354
188	419
189	445
190	249
190	484
191	263
192	108
192	311
193	194
193	458
194	458
195	310
195	136
196	349
196	169
197	302
198	223
198	490
199	478
199	416
201	319
203	474
203	326
204	251
204	386
205	300
206	300
206	107
207	265
207	7
208	224
208	118
209	467
209	446
210	295
211	496
211	6
213	301
214	432
215	277
216	485
216	453
217	164
217	77
219	328
219	486
220	459
221	321
222	416
222	478
223	490
224	118
225	413
226	422
226	416
227	490
228	411
229	406
230	485
230	144
231	472
231	420
232	143
233	89
234	258
235	249
235	403
236	405
237	440
238	393
239	262
239	67
240	396
240	327
241	233
244	168
245	463
246	355
246	461
247	332
248	430
248	434
250	481
250	345
251	386
252	291
252	130
253	471
253	434
254	432
255	146
255	305
256	146
257	462
258	179
259	421
259	467
260	295
260	401
261	399
261	91
264	278
266	453
267	84
267	262
268	294
268	482
269	412
270	273
272	418
273	230
274	388
274	393
275	105
276	165
279	85
279	55
280	447
280	316
281	381
281	415
282	486
282	278
283	389
283	468
285	435
285	353
288	489
288	413
290	405
290	236
293	399
293	119
294	493
296	369
296	466
297	243
298	319
298	37
299	431
301	290
301	405
302	314
303	374
304	366
304	346
305	68
306	360
306	126
307	343
308	173
308	357
309	378
309	345
311	237
312	426
312	81
313	372
313	406
315	426
315	470
316	315
317	42
318	384
318	75
320	83
320	389
321	365
322	420
322	472
323	450
323	326
324	469
324	186
325	364
325	463
326	450
326	474
327	396
327	330
329	460
330	396
331	495
331	90
333	206
333	300
334	497
334	480
335	459
335	103
336	46
337	377
337	279
338	43
338	461
339	403
340	408
341	74
342	314
342	302
345	378
346	366
347	398
347	445
348	356
350	302
350	357
351	116
351	385
352	299
353	410
354	449
354	147
357	496
358	48
358	387
359	383
359	45
360	459
361	155
362	161
363	377
364	27
365	221
367	375
368	91
369	466
370	372
370	476
373	456
375	124
376	28
376	257
380	476
380	370
381	415
382	362
383	45
387	180
388	393
389	448
390	424
390	44
391	491
392	414
392	139
394	275
394	403
395	216
395	453
397	166
397	115
400	414
402	147
402	4
404	452
407	352
408	53
409	439
410	435
412	492
413	489
416	478
417	331
417	54
420	472
422	478
425	80
427	462
427	257
428	436
429	91
430	434
431	35
433	482
433	268
435	353
436	499
437	183
438	162
438	205
439	193
439	288
440	132
442	246
443	456
443	473
444	488
444	24
446	467
447	477
451	484
451	32
453	485
454	44
454	390
455	10
455	277
457	494
457	78
460	66
460	330
464	89
465	154
468	480
468	158
469	186
470	492
470	412
471	152
473	8
474	450
475	18
475	63
477	304
477	366
479	493
480	497
481	345
486	242
487	70
489	439
494	78
498	151
0	12
1	129
2	23
7	99
10	198
11	364
14	240
16	303
19	404
21	419
24	231
30	204
33	367
44	240
66	415
67	87
73	97
82	97
83	104
97	367
99	322
103	231
104	188
124	281
127	469
153	322
292	381
109	381
281	375
